,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp
400,40,93,,,Btcgm822,,185,btcgm822,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943202051273748480,"RT @XVGWhale: Due to difference in circulation size, buying $XVG at $0.06 is the equivalent of buying #bitcoin at $50.00 (When $BTC also ha…",,Tue Dec 19 19:31:07 +0000 2017
401,22,243,,Nederland,erat-nl,,2,xim4demF17QIie2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943202036987973632,RT @Manbeardlegend: Can't wait to see what XVG does when the Asian markets wake up. $XVG,,Tue Dec 19 19:31:04 +0000 2017
402,21,137,,London,Powervest,,18,PowervestCentre,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",943202033120706561,"RT @CryptoNoob4: @justinvendetta $1B market cap, not to shabby. Congrats and appreciate all your hard work! $xvg $verge @XVGWhale https://t…",,Tue Dec 19 19:31:03 +0000 2017
403,9,30,,"Lyon, France",Yo,,1,TweetYoann,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943202027517173760,RT @Bitconnectlend: I must admit #xvg verge is the next subject to talk about come 2018!! #Bittrex #bitcoin #cryptocurrency #crypto,Pacific Time (US & Canada),Tue Dec 19 19:31:01 +0000 2017
404,104,255,,Kiel Germany ,Philip Lorenzen,,21,philiplorenzen,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943202021615788036,"RT @VergeLife: Wait til Asia/China wakes up. 

Let's see if we can't get to 1000sat!

And wait til #wraith is announced. With this momentum…",Berlin,Tue Dec 19 19:31:00 +0000 2017
405,13,32,,,Riley Murphy,,18,XVGGOD,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943202015890489344,"RT @CryptoNoob4: @justinvendetta $1B market cap, not to shabby. Congrats and appreciate all your hard work! $xvg $verge @XVGWhale https://t…",Pacific Time (US & Canada),Tue Dec 19 19:30:59 +0000 2017
406,6,42,,"National Capital Region, Republic of the Philippines",Iroi,,18,Iroi2012,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201996521095168,"RT @CryptoNoob4: @justinvendetta $1B market cap, not to shabby. Congrats and appreciate all your hard work! $xvg $verge @XVGWhale https://t…",,Tue Dec 19 19:30:54 +0000 2017
407,15753,1194,,Pluuuutohhh,XVG Whale,,18,XVGWhale,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",943201914963062785,"RT @CryptoNoob4: @justinvendetta $1B market cap, not to shabby. Congrats and appreciate all your hard work! $xvg $verge @XVGWhale https://t…",,Tue Dec 19 19:30:35 +0000 2017
408,6,31,,,washappeningmang,,15,EricGratz1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201889184894977,"RT @XVGWhale: $XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by using the fol…",,Tue Dec 19 19:30:28 +0000 2017
409,8,146,,,Mizkze(The Z's are silent),,3,Youdumbidjuts,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201854036561920,RT @JoshCoban: @VuzyeKismet Its actually ALL low sat coins. $DOGE $RDD $XVG $TRX $CND $DNT etc etc etc. If you guys havent yet realised ALL…,,Tue Dec 19 19:30:20 +0000 2017
