,follower_count,name,retweet_count,status_text,tmstamp
29,50,pukicokutakuta,126,"RT @coinciana: XRP！！本当に…年内100円になったね！
おめでとう！ありがとう！！
（ビケ先生のりぷる君に乗ってもらいました♪） https://t.co/WtxOLL2rFG",Thu Dec 21 03:36:38 +0000 2017
30,276,Inner devil,80,"RT @bakuagecoin: リップル100円おめでと〜〜🎊㊗️

私今、涙出てるよ…😭😭😭

#XRP https://t.co/3xSmXiImCb",Thu Dec 21 03:36:37 +0000 2017
31,562,dandxxx(酒),0,"@cryptcoin_xrp ですです。材料たっぷりです。

BTC派も、トランザクション詰まりと手数料に嫌気がさしてきてるのはツイート見ててわかります。

なので個人的にはBTCの値段が落ちてきて、最終的には並ぶと思ってます(切… https://t.co/d9nos7NCwr",Thu Dec 21 03:36:37 +0000 2017
32,81,Tarun [XRP] [LTC] [ETH],94,RT @cryptfx: Ripple to the moon wars! Grab your tickets now 😄📈🚀 #xrp $xrp https://t.co/hJsx8dumbW,Thu Dec 21 03:36:37 +0000 2017
33,190,Pero,0,"XRPそのまま1000円行ってくれ。
なんでもおごるし。",Thu Dec 21 03:36:35 +0000 2017
34,138,まなまなさん,0,XRP寝てる間に...おめでとう㊗️,Thu Dec 21 03:36:33 +0000 2017
35,264,フジ腐2o,80,"RT @bakuagecoin: リップル100円おめでと〜〜🎊㊗️

私今、涙出てるよ…😭😭😭

#XRP https://t.co/3xSmXiImCb",Thu Dec 21 03:36:31 +0000 2017
36,297,よしかわりょう,0,"ripple年内100円超えおめでとー🎊

#Ripple #XRP https://t.co/v7EcfM9rd3",Thu Dec 21 03:36:30 +0000 2017
37,4,cryptohulk,0,#XRP getting close on binance 🚀 https://t.co/RUzk3WFbrv,Thu Dec 21 03:36:30 +0000 2017
38,32,ロスカのごーや@仮想通貨,0,XRPは今朝手放しました(´；ω；`),Thu Dec 21 03:36:30 +0000 2017
39,292,caramel24,1,RT @75ringo75ringo: #XRP 100円到達！おめでとう㊗️ 動画で色々と偉そうに語ってましたが無事に年内100円を達成。ホッとしていますw 暴落しても100円を超える力が証明されたのは事実。ね？上がったでしょ？笑 https://t.co/q7xagdZDsF,Thu Dec 21 03:36:28 +0000 2017
40,495,Crypto Currency™,24,RT @xrptips: $1.00 USD may serve as reverse resistance for $XRP (if it passes one it may rocket much higher rather than correct).,Thu Dec 21 03:36:28 +0000 2017
41,2244,360Trader,1,$xrp BOOOOOOOOOOOM. #ripple https://t.co/Cl1LPdHoes,Thu Dec 21 03:36:27 +0000 2017
42,5102,るねきょうじゅ,0,XRP〜〜,Thu Dec 21 03:36:25 +0000 2017
43,840,筋肉介護士,126,"RT @coinciana: XRP！！本当に…年内100円になったね！
おめでとう！ありがとう！！
（ビケ先生のりぷる君に乗ってもらいました♪） https://t.co/WtxOLL2rFG",Thu Dec 21 03:36:24 +0000 2017
44,27,evi,0,"リップル  XRP
100円おめでとう🎉＼(^^)／

#リップル #xrp #ripple https://t.co/yozDvZSV3n",Thu Dec 21 03:36:23 +0000 2017
45,197,Clover(◍•ᴗ•◍)ノ❀,3,RT @Keiki_XRP: 4日間XRP/BTCチャートでも標準返済ボラティリティーが＋1σ 上抜け。これから大きなトレンドの変化が生じるだろう。 https://t.co/VHMKYmXmMp,Thu Dec 21 03:36:21 +0000 2017
46,43,クズ野郎,1,"RT @cyisurf: ドル建ての第一目標1㌦まであと少し👍👍👍
$XRP #XRP #リップル https://t.co/unY5FIdnE2",Thu Dec 21 03:36:20 +0000 2017
47,109,Luckynany,1,"RT @HaraldoXRP: When I got a trade on I like to listen to some 90's R&amp;B, $XRP is as smooth as a P Diddy production right now.
https://t.co/…",Thu Dec 21 03:36:18 +0000 2017
48,141,オスナ@復活,43,"RT @coin_post: 『XRP100円』『リップル100円』が日本のツイッタートレンドに

CoinPost リップルニュース
https://t.co/ZkwxwKpWtZ
#XRP #リップル #仮想通貨 #XRP100円 #リップル100円 https://t.c…",Thu Dec 21 03:36:16 +0000 2017
49,127,たけまろモナコイン生活,10,"RT @poipoikunpoi: Twitterのオススメトレンドが！！！

「XRP100」

「リップル100円」

でダブルランクイン！！！

#XRP #リップル https://t.co/w3XF04PeGp",Thu Dec 21 03:36:15 +0000 2017
50,261,とたなんとか,0,XRPイナゴ はじめました,Thu Dec 21 03:36:15 +0000 2017
51,1330,どふぃ@ポケモンGO40,0,XRP上がって嬉しいけどXEMもBCHも買いそびれてて、でも逆パターンの人もおそらくたくさんいて、とにかく強欲との戦い💰,Thu Dec 21 03:36:14 +0000 2017
52,2346,Goddess Hannah 🇬🇧,0,"#XRP is going to go over a dollar tonight. 🤤 Things are about to get interesting. 🤑

#cryptocurrency #ripple #stocks",Thu Dec 21 03:36:13 +0000 2017
53,3379,ハルナちゃん,0,リップラーは500万XRP程度軽く持ってるからな,Thu Dec 21 03:36:12 +0000 2017
54,1742,OmaR 💸,0,Woke up for this 🚀🚀 #Ripple #XRP https://t.co/8t3JDbHnj1,Thu Dec 21 03:36:12 +0000 2017
55,5,UnaQuinn,0,"✅Binance
❌Poloniex
❌Bittrex

Move your trading to the #1 crypto exchange today! 🚀

Receive a 50% discount on tradin… https://t.co/Cao9qe0aTO",Thu Dec 21 03:36:11 +0000 2017
56,1561,75ringo®︎,1,#XRP 100円到達！おめでとう㊗️ 動画で色々と偉そうに語ってましたが無事に年内100円を達成。ホッとしていますw 暴落しても100円を超える力が証明されたのは事実。ね？上がったでしょ？笑 https://t.co/q7xagdZDsF,Thu Dec 21 03:36:10 +0000 2017
57,402,ますたーあじあ,11,"RT @ichisensen: モナコインホルダーのみんな！ビックカメラ秋葉原のアキバたんがモナコインをビックカメラ秋葉原店で使える様にしてくれるかお偉いさんに聞いてくれるって！

拡散して！

お偉いさんに届いたらモナコインで家電買えるで！てかアキバビックなら飯も食えるで！…",Thu Dec 21 03:36:08 +0000 2017
58,257,Tiger Shark Inc. 🦈,4,RT @RippleMarket: 1 Ripple = 0.9648 USD. Ripple has increased by 0.0358 USD in 30 mins. Live price: https://t.co/OCxPdK7qqL #ripple #xrp #c…,Thu Dec 21 03:36:08 +0000 2017
59,52,Aprilcadabra,7,"RT @Reverend_Ripple: An excellent read my #XRP flock!

#XRP_Believer #xrpthestandard $XRP 

https://t.co/FrNtAsQqq8",Thu Dec 21 03:36:07 +0000 2017
60,30,Seth_Davis,0,@JoelKatz @Ripple Now that XRP is almost $1! Will the address activation fee be adjusted?,Thu Dec 21 03:36:07 +0000 2017
61,2,Sam,0,Ripple to $1! Let's go! #XRP $XRP #Cryptocurrencies,Thu Dec 21 03:36:07 +0000 2017
62,49,VERY AMBITIOUS,5,RT @davidgokhshtein: $XRP is going to do it! https://t.co/EsDzRFYXN1,Thu Dec 21 03:36:05 +0000 2017
63,92,アツ,42,"RT @kuronecoin: 【速報】XRP100円ついに大気圏突破‼️
ありがとうリップル！㊗️
おめでとうリップラーの皆さん🎉

それでは、皆さんご一緒に！！
「Ripple to the moon🚀🌕」 https://t.co/i26aTlvF1M",Thu Dec 21 03:36:03 +0000 2017
64,21,笑エル男,0,"やっとお祝い準備ができたらしい！
#XRP https://t.co/OrB7CPGi69",Thu Dec 21 03:36:02 +0000 2017
65,109,Luckynany,4,RT @RippleMarket: 1 Ripple = 0.9648 USD. Ripple has increased by 0.0358 USD in 30 mins. Live price: https://t.co/OCxPdK7qqL #ripple #xrp #c…,Thu Dec 21 03:36:02 +0000 2017
66,557,"koko""the""apechild",6,RT @CryptOrca: $XRP https://t.co/ZWDcdMpScP,Thu Dec 21 03:36:02 +0000 2017
67,667,jun,13,"RT @adam_0q0: やっぱリップルは鬼だな

送金手続き
↓
一服して戻る
↓
着金

まじで全ての取引所でリップル上場して欲しい

#Ripple $XRP
#通常のBTCの100倍の速さだと！？",Thu Dec 21 03:36:01 +0000 2017
68,15,RiPPLeXrPGUy,0,#xrp #ripple .95 marketcap already!!! .05 more.. we can do it 1 dollar up!!!! buy buy buy hold hold hold.. this is it.. amazing!!!!,Thu Dec 21 03:36:00 +0000 2017
69,2190,お菓子を科学する「OPENLAB」by BAKE,1,仮想通貨のリップルが100円超えしたことが話題になってますが、わたしは高知県の乳酸菌ソウルドリンク「リープル」の存在が気になって仕方ない…！ #XRP https://t.co/8qjjDYLrzd,Thu Dec 21 03:35:57 +0000 2017
70,11,carl westerman,0,".94 and rising.  
#XRP #xrpthestandard #Ripple https://t.co/aAk2MoKtIQ",Thu Dec 21 03:35:56 +0000 2017
71,55,Javier M,3,"RT @MadB0Lt: Yep, all the @Coinbase employees are on @Bitstamp buying up $XRP in droves...",Thu Dec 21 03:35:56 +0000 2017
72,355,rev,7,"RT @JoeVargas: XRP shot up to .92 today. One of my loyal supporters gets a new car like I said if it hits $100. Give it time, but this is a…",Thu Dec 21 03:35:55 +0000 2017
73,46,Pork,0,Pinching my nipple and eating a pickle while waiting for ripple to tickle $1.00 $xrp,Thu Dec 21 03:35:54 +0000 2017
74,402,ますたーあじあ,0,@Moon_tRippler ありがとう、ありがとう、りっぷるくん,Thu Dec 21 03:35:53 +0000 2017
75,109,Luckynany,1,"RT @cryptfx: $xrp price is rising
Customers all are singing
A beautiful sight! What happen tonight
Winter in @Ripple wonderland! 🎶🎵
#xrp #r…",Thu Dec 21 03:35:48 +0000 2017
76,51,tyndallman,48,RT @hitoriblog: XRP100円おめ！ https://t.co/5grzvhEKmV,Thu Dec 21 03:35:48 +0000 2017
77,765,＃富士山と藤がすき,204,"RT @BK_Black_white: なんかね、REPとXRP間違えてる人がいるみたい
確かに初心者さんはRippleのスペル見て「REP」だと勘違いしやすいよね
リップルは「XRP」ですよー！！！
お間違いの無い様にお願いします🙇‍♂️
＃リップルは
＃XRPだよ
＃REP…",Thu Dec 21 03:35:45 +0000 2017
78,68,高野 真之介@ﾘｯﾌﾟﾗｰ,1,"RT @yanoteck: リップラーのみなさん、100円突破おめでとうございます🎊。悲願達成ですね

#XRP #リップル https://t.co/dhGoEmFylr",Thu Dec 21 03:35:45 +0000 2017
79,15,ざっきー,0,昨日85円で買い増しできたのがよかった #xrp,Thu Dec 21 03:35:43 +0000 2017
80,2,おでんさん,397,RT @bitbit_ojin: XRP勝利　スイスのオンライン銀行　https://t.co/PRBHURMNyp　でリップルぷるぷる取り扱い開始 https://t.co/U6As9ancej,Thu Dec 21 03:35:43 +0000 2017
81,103,kazuhiro,26,"RT @100OKUENPLAYER: 【リップル速報】
バイナンス↔100億円PLAYER間において。XRPを使った。国際送金実装開始致しました。わらう。わしらが最終最強無敵の勝ち組や。いくで。やるで。リップル買い増しや。《絆》",Thu Dec 21 03:35:42 +0000 2017
82,645,うどんちゃん！,0,XRPとんでた,Thu Dec 21 03:35:41 +0000 2017
83,11,The Tailgator_WhoDat,0,XRP ........... https://t.co/l5gzpHS7Zz,Thu Dec 21 03:35:41 +0000 2017
84,55,女子大生@仮想通貨はじめました,0,XRPついに100円かー,Thu Dec 21 03:35:40 +0000 2017
85,36,ラオウ,35,"RT @enou__: 轢き殺し始めます
#閻王 #XRP https://t.co/eiZqJwfhBX",Thu Dec 21 03:35:40 +0000 2017
86,92,アツ,29,"RT @coin_post: XRP100円突破　ATH更新

XRP(リップル)の価格がフィアット建で100円を突破した。

上昇ニュースまとめ
https://t.co/8tMcz1Mebj
銀行Swissquote: XRP追加
https://t.co/qC1vI8kO…",Thu Dec 21 03:35:39 +0000 2017
87,2287,cryptfx,4,RT @RippleMarket: 1 Ripple = 0.9648 USD. Ripple has increased by 0.0358 USD in 30 mins. Live price: https://t.co/OCxPdK7qqL #ripple #xrp #c…,Thu Dec 21 03:35:38 +0000 2017
88,520,GSalazar/ElCapofCapo,1,RT @BruceWayneBby: $XRP #XRP #Ripple $XVG #VERGE $DASH $MONERO https://t.co/gNBXMGo7U0,Thu Dec 21 03:35:38 +0000 2017
89,196,CryptopyroXL,7,RT @davidgokhshtein: I knew $XRP has one run in it left.,Thu Dec 21 03:35:36 +0000 2017
90,56,葵鱗@PUBG,0,$xrpの握力緩めたバカなアカウントはこちらです,Thu Dec 21 03:35:36 +0000 2017
91,55,庭@隠れNEM信者,51,"RT @henashamp: 「ＸＲＰ」

これくらいなら、充分リッパな煙突の出来上がり。
後は待つのみ。

サンタクロース、おいで下さい。 https://t.co/gvdC4JGyOS",Thu Dec 21 03:35:35 +0000 2017
92,402,ますたーあじあ,4,RT @Moon_tRippler: りぷるくん、私はあなたから教えられています。「みんなのために」、信じる道を行こう!そうすれば、きっと、見てくれている人がいる、助けてくれる人がいる、一緒に喜んでくれる人がいる!本当におめでとう。 https://t.co/tS…,Thu Dec 21 03:35:35 +0000 2017
93,658,Jeff,0,"An entity called @Ripple has already been adopted by American Express, and the $XRP coin is going to facilitate int… https://t.co/I8WcpI3Feu",Thu Dec 21 03:35:35 +0000 2017
94,2287,cryptfx,1,"$xrp price is rising
Customers all are singing
A beautiful sight! What happen tonight
Winter in @Ripple wonderland!… https://t.co/Gpy96ZMfzG",Thu Dec 21 03:35:29 +0000 2017
95,10932,Hiroya@自由な生活,0,"仮想通貨のXRPきてますね！

今が買いです(^^)

来てますきてます！ https://t.co/fTs53f4rz6",Thu Dec 21 03:35:29 +0000 2017
96,300,Sunny,3,"RT @MadB0Lt: Yep, all the @Coinbase employees are on @Bitstamp buying up $XRP in droves...",Thu Dec 21 03:35:29 +0000 2017
97,614,きゅー[ポケルス],0,@kinakomochirx とりあえずXRPっての全財産買っとけ,Thu Dec 21 03:35:27 +0000 2017
98,1455,にゃんこ先生😼ってにゃぁぁ！,3,"RT @_mizuki_neko: XRP 今年中に100円行ったら◯◯するって言ってた人が多かったような。
#約束守ってね 
#xrp #ripple",Thu Dec 21 03:35:25 +0000 2017
99,52,Aprilcadabra,24,RT @HaraldoXRP: $XRP divergence phase appears over now and hopefully now we see the continuation referenced earlier this week to breakout A…,Thu Dec 21 03:35:25 +0000 2017
100,10,joe,0,Shout out to whoever bought this sliver of $xrp https://t.co/8vMw0WxpfB,Thu Dec 21 03:35:23 +0000 2017
101,981,ビビリップル👼🐟,6,RT @bitbit_ojin: XRP勝利　長期妄想　いってみよう。。 https://t.co/4ywq119ipG,Thu Dec 21 03:35:22 +0000 2017
102,3344,どらごん,0,ようやくXRP100円かあ！,Thu Dec 21 03:35:22 +0000 2017
103,504,TrendCoinVideos,0,"XRP shot up to .92 today. One of my loyal supporters gets a new car like I said if it hits $100. Give it time, but… https://t.co/3AkpVc1oab",Thu Dec 21 03:35:17 +0000 2017
104,701,クリプトJKpepeloción,1,RT @kura_seo: XRP５ドルぐらいなら割りとすぐ見えると思うけどなぁ。 https://t.co/O907R5W739,Thu Dec 21 03:35:15 +0000 2017
105,2230,Harry,1,"When I got a trade on I like to listen to some 90's R&amp;B, $XRP is as smooth as a P Diddy production right now.
https://t.co/XrzuhrTu0L",Thu Dec 21 03:35:15 +0000 2017
106,39,eshltrade,1,RT @eshltrade: $XRP 1XRP=USD1.00 (in next 30 minutes),Thu Dec 21 03:35:13 +0000 2017
107,412,Masato Umezawa rippler and bitcoincasher,0,ついにXRPとREPの間違いに気づいたかな,Thu Dec 21 03:35:12 +0000 2017
108,5,Ashley Greenwall,1189,"RT @ToshiDesk: Guys - Next #ICO to watch out for!

 https://t.co/Vfol0rWYce  

They already have 10+ courses up on their Educational Site…",Thu Dec 21 03:35:11 +0000 2017
109,5,Artur Androsov,61,"RT @DavidakaLegend: Bitcoin Giveaway! 
Giving Away 0.1 BTC 
To Enter:
Retweet This
Follow Me
DM me your BTC Wallet 
*Winner Drawn 12/31
Goo…",Thu Dec 21 03:35:11 +0000 2017
110,520,GSalazar/ElCapofCapo,1,RT @tmonox9: $XRP #RIPPLE https://t.co/pKxkj4qQau,Thu Dec 21 03:35:10 +0000 2017
111,45,とにーすたーく,0,"XRP、リップル、100円突破おめでとう。✨これからの激アツなドラマ、
ストーリーを期待します。✨✨✨ https://t.co/0i3T3NfhCc",Thu Dec 21 03:35:10 +0000 2017
112,59,パンダ🔰,0,@PinkYucky てか今xrp全資産の何%？めっちゃxrp持ってるイメージw,Thu Dec 21 03:35:07 +0000 2017
113,171,ずふぁ,0,1万スタート→15万(BTC)→3万→30万(LTC)→10万→40万(XRPうち10万利確)→10万(BTCアルト全般下落)→20万(XRP),Thu Dec 21 03:35:07 +0000 2017
